gene_id,SRR7819740,SRR7819751,SRR7819759,SRR7819764,SRR7819779,SRR7819802,SRR7819811,SRR7819835,SRR7819862,SRR7819866,SRR7819851,SRR7819863,SRR7819867,SRR7819869,SRR7819870,SRR7819871,SRR7819875,SRR7819885,SRR7819891,SRR7819893
IGF2,1108,148,440,2627,356,280,175,533,657,305,53,49,42,98,327,1779,291,92,3089,655
IGF2R,13034,3087,7052,6893,6697,6340,2003,8721,8649,1297,4865,7605,6864,19539,7861,6383,10883,22545,6333,9125
IL10,101,54,34,44,58,417,1192,363,423,132,74,434,111,67,151,154,24,189,25,155
IL12A,54,36,14,10,41,26,77,12,62,27,22,51,34,0,4,44,13,65,27,27
IL12B,119,0,15,15,11,0,0,0,93,0,0,64,78,59,101,98,0,60,0,60
IL12RB2,210,215,148,148,302,420,232,100,155,120,195,257,105,70,230,384,81,203,62,234
IL13,0,0,0,8,0,0,0,0,26,0,0,4,8,42,4,0,0,0,0,0
IL13RA2,48,18,27,55,27,48,60,0,220,63,130,334,53,17,29,118,41,115,83,116
IL15,488,95,97,236,147,232,482,352,830,388,201,315,391,201,364,736,174,226,123,544
IL17A,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0
IL18,416,121,258,381,161,488,294,416,1470,465,163,1508,173,593,613,742,516,1312,161,1020
IL18BP,1351,457,299,983,730,302,721,508,2055,722,1276,1368,1471,779,1082,2262,1486,3885,330,1092
IL1A,213,21,136,121,89,77,63,40,252,155,137,184,174,66,625,181,145,80,56,376
IL1B,22,6,11,16,4,37,50,0,35,12,38,24,19,18,84,188,0,22,0,35
IL1RN,360,415,461,266,523,1146,453,1659,702,787,411,802,972,862,1482,1458,1665,1372,93,890
IL2,0,0,0,6,0,5,0,0,0,24,0,0,8,0,0,23,0,0,0,0
IL21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL29L,5,9,5,11,5,0,0,0,0,12,1,0,31,0,7,7,6,4,0,7
IL2RA,348,35,89,79,52,27,20,27,125,74,26,47,133,80,339,193,142,89,25,198
IL2RB,551,56,237,239,145,113,119,87,414,142,146,254,254,92,331,795,187,127,82,308
IL2RG,276,23,80,153,53,141,302,215,268,128,292,238,281,111,305,515,129,137,59,299
IL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL33,4480,1967,9261,5192,1047,3696,10327,1125,12821,759,1486,2888,303,4111,2886,3368,5247,8426,18398,10590
IL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL5,7,0,0,10,4,12,11,0,0,12,16,14,5,3,0,26,0,0,0,0
IL6,19,30,43,261,15,1007,4479,53,29,1049,848,119,46,70,171,1785,93,70,15,64
IL6ST,4222,3608,6978,11853,3489,17623,9142,3751,13524,4213,5381,7934,6583,24297,12689,12259,10718,14370,2455,9949
IL7,85,0,35,69,16,29,0,30,109,39,15,67,41,141,98,357,54,99,21,74
INPP5A,833,1402,840,1087,1135,2938,1986,3777,1560,927,1175,1688,795,1034,1066,1639,848,1627,705,1551
INS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSL3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTS13,1480,1103,712,898,1251,552,959,821,1709,618,1440,1310,1563,1708,1229,1219,1433,1767,1040,1441
INVS,1231,807,840,988,841,1780,1377,1710,1014,742,735,1690,633,2300,1321,1471,1614,2189,436,1235
IQCB1,1497,673,1070,923,1159,262,271,368,1576,852,500,653,1485,1325,1512,892,787,596,1797,1237
ISY1,1893,2045,970,1407,1871,1188,2252,1405,3680,2051,2918,3231,2293,2490,2220,2187,1514,2089,1496,2527
ITGA2B,285,103,165,213,185,183,218,70,220,53,179,101,127,163,154,673,81,184,243,259
ITGAD,15,39,30,36,10,1054,363,683,43,13,19,39,6,10,82,60,19,86,13,117
ITGB3,167,164,207,457,66,1706,1394,200,370,107,294,856,37,76,228,423,461,536,16,335
JAK1,10785,9213,12381,11975,8137,28297,13871,20322,16498,7377,7916,13882,6780,15455,18131,17123,17972,16748,7640,19047
JMJD7,451,481,337,497,760,342,642,655,574,509,848,864,812,630,511,537,288,601,618,589
JPT1,1337,804,348,901,1038,344,1310,937,1626,1153,2670,2676,1953,830,640,1043,1018,1423,505,1451
JUP,16241,27572,17100,16695,35779,6235,5765,13925,20230,9838,6945,20163,15267,13912,19706,19712,21888,22823,9759,29761
KCNA1,24,4,28,25,13,7,3,3,24,15,9,5,8,15,9,30,22,5,12,34
KCNA2,3,0,7,0,5,2,0,0,3,18,84,0,2,1,5,21,0,5,5,5
KCNA5,28,16,89,48,19,47,183,4,60,65,65,50,20,22,23,79,33,30,20,49
KCNB2,38,9,23,5,58,116,24,14,24,12,0,8,26,37,56,32,6,5,0,40
KCNC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
KCNE2,9,13,7,7,14,3,3,2,15,2,0,8,25,7,7,0,0,0,9,6
KCNH2,122,36,115,68,131,177,217,227,258,71,140,412,411,396,215,83,263,648,9,160
KCNIP2,320,204,62,142,419,76,194,59,182,122,132,287,578,107,284,201,66,341,68,225
KCNJ12,55,63,25,33,88,69,77,21,40,18,75,25,20,24,40,21,26,25,0,141
KCNJ16,33,32,30,55,49,21,8,16,38,6,6,7,0,0,27,45,8,14,53,34
KCNJ2,31,33,118,91,40,88,58,16,62,31,13,47,0,30,88,145,75,122,33,129
KCNMA1,114,78,300,596,182,368,149,12,184,97,302,412,15,143,229,135,491,303,128,219
KCNMB1,763,140,495,1008,174,396,961,338,1064,586,345,1384,204,998,1117,1517,842,2559,196,642
KDM5C,6779,5021,4364,5115,7036,4338,4271,3211,4379,1048,4120,4566,4331,6311,4973,6261,5035,6812,3666,6803
KDM6A,2718,1286,2164,1691,1824,1783,1429,1022,2169,916,797,1336,1262,2659,2880,2593,2637,2477,1287,2591
KDR,505,433,1280,3034,571,3015,4121,2062,1719,484,1332,2971,226,1677,3486,2982,2325,3656,1162,1787
KHK,794,470,358,421,736,326,295,413,581,424,670,542,859,858,1188,641,186,530,965,602
KIF1A,475,20,110,34,268,8,0,0,129,94,48,20,292,78,71,211,73,74,0,397
KISS1R,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
KIT,1015,459,580,792,721,497,669,74,633,349,219,803,319,1073,2910,1393,2301,2147,144,1624
KITLG,871,499,1115,1012,827,633,375,136,407,277,30,452,101,2748,1777,1733,1384,1834,163,1122
KLK1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
KLK10,15,1819,529,11,1447,0,0,0,13,392,5,676,32,10,17,7,17,69,0,1241
KLK14,5,0,0,7,7,0,13,0,0,0,0,16,6,7,7,0,7,0,2,14
KLK2,23055,0,460,427,7351,0,0,0,288,10337,0,30,5118,0,5134,11787,43,2657,2818,0
KLK4,710,173,128,151,297,199,148,156,292,984,1603,588,533,232,113,610,133,340,177,282
KLK5,47,535,1330,0,1590,0,0,0,27,1984,0,4546,1873,0,43,0,130,104,0,1673
KLK6,289,656,389,875,1290,68,14,16,404,1142,33,10892,592,327,495,222,2038,1385,22,2712
KLK7,0,1316,1216,17,2466,0,0,3,17,1881,6,5232,0,8,0,4,11,101,0,2615
KLK8,0,138,262,14,173,0,0,0,0,140,0,381,52,0,7,0,34,16,0,177
KLK9,0,50,168,14,137,0,0,0,0,56,0,36,0,0,0,0,0,9,0,191
KLKB1,2225,528,672,450,929,1244,95,2449,2728,614,186,759,1942,1525,4731,1105,702,2313,717,1112
KLRA1,10,0,0,4,8,12,0,0,0,0,0,0,6,0,13,12,0,0,0,3
KLRD1,32,36,36,20,28,110,23,102,88,77,60,22,40,0,129,101,28,15,12,48
KMO,50,7,8,12,23,64,97,33,83,32,50,74,42,85,78,95,30,28,13,112
KRT1,0,18475,82038,0,56771,0,12,17,313,54766,0,1730,0,0,897,0,0,5,13,79130
KRT12,33,10,15,18,25,13,19,0,30,8,22,8,35,5,15,11,4,14,0,35
KRT13,121,386,107,20,532,9,0,0,62,1559,121,5494,1935,6227,2063,317,589,845,11,359
KRT14,8038,196138,27474,16026,178073,116,64,61,20718,62612,2140,106703,24614,16749,21601,17147,65419,49779,2880,74443
KRT15,24904,33605,9975,10986,29311,442,145,10,30515,17636,21697,39624,44487,28476,84971,37392,39567,53528,3121,39581
KRT18,24653,12483,21880,32759,23016,49,196,77,35014,22714,13641,21796,35800,31915,60635,39496,41303,36234,33596,52503
KRT19,61469,21018,44594,71173,69918,232,328,161,125239,51763,23612,63887,72523,58430,107127,77955,79561,71932,56295,102075
KRT2,0,99,831,7,252,0,0,0,5,281,15,0,0,44,16,109,16,16,0,405
KRT222,37,0,25,4,6,18,5,0,52,8,8,31,0,0,42,26,14,20,22,30
KRT23,25,414,1873,36,2055,40,101,92,217,3483,29,135,25,41,122,152,17,99,13,2162
KRT25,6,62031,1372,34,47323,75,24,24,172,5874,147,11,35,17,63,69,13,0,0,9401
KRT26,0,76,288,0,1397,0,6,0,16,696,18,0,3,5,0,0,0,0,0,618
KRT27,7,27418,794,12,30838,10,9,31,46,3154,77,0,20,0,9,14,0,0,0,5622
KRT28,4,17024,247,18,13894,7,0,0,106,664,25,0,0,17,210,80,4,0,0,1463
KRT3,233,88,75,134,245,0,0,0,22,243,103,67,457,0,36,128,42,99,18,183
KRT33A,0,320,758,0,3256,0,0,7,27,7719,29,0,0,0,0,5,0,0,0,2211
KRT33B,0,127,579,16,5428,0,0,0,38,6703,18,0,0,0,0,0,0,0,0,1686
KRT4,32,15,91,81,104,5,0,0,7,91,23,39,16,13,1879,146,108,159,5,94
KRT40,16,20,50,30,1378,6,0,0,40,583,0,5,57,24,29,37,0,32,0,251
KRT5,23626,244823,44445,31616,291371,511,158,84,41304,80105,7413,182054,68964,13621,94147,45900,117378,135827,3128,116285
