"gene_id","SRR7819740","SRR7819751","SRR7819759","SRR7819764","SRR7819779","SRR7819802","SRR7819811","SRR7819835","SRR7819851","SRR7819862","SRR7819863","SRR7819866","SRR7819867","SRR7819869","SRR7819870","SRR7819871","SRR7819875","SRR7819885","SRR7819891","SRR7819893"
"HMGA1",2771,4074,1997,1669,3728,284,463,617,630,2318,1198,1521,1497,789,1474,2189,871,914,2850,2445
"NUDT3",1132,1188,683,890,992,975,877,1297,1229,1640,1129,1300,857,1390,992,970,1007,1242,818,1219
"RPS10",30519,34710,26181,35958,41518,14018,27529,38561,24154,51100,26739,46910,34038,29866,22813,32369,19884,18059,48515,32434
"SNRPC",678,590,308,344,624,386,594,427,851,605,608,641,579,371,531,620,364,489,374,540
"FKBP1A",2692,3294,2508,3292,2992,4322,5097,3484,5921,5551,4846,1628,2245,4473,2788,4454,3630,3387,2477,3305
"PPARD",518,446,426,474,570,949,406,789,311,584,575,212,387,656,606,766,623,695,212,671
"RPL10A",34289,44084,33923,42697,50649,17683,33533,46208,23641,59532,32966,59341,41561,42538,37353,46731,29235,24737,61312,38821
"CLPS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK14",637,468,755,694,526,1386,742,1092,315,855,700,421,217,830,892,1142,805,982,590,1290
"PNPLA1",4,252,179,0,514,3,0,0,3,1,40,178,3,24,25,80,15,27,0,303
"PIM1",388,732,828,1498,647,681,1315,727,196,695,285,290,215,146,416,1583,474,376,863,1108
"TREM1",18,14,18,29,27,180,178,43,81,100,104,55,6,24,38,215,55,100,9,256
"PRPH2",3,5,2,4,0,20,43,0,39,21,38,5,3,15,3,8,15,100,1,7
"VEGFA",1585,1332,1338,1607,2065,3257,2323,4406,5223,2263,3010,560,1844,3914,1856,2637,4780,5261,1525,2371
"SLC29A1",4803,3037,4366,4076,4012,3515,3572,2153,3366,9713,4449,3718,4427,5643,6576,6560,3434,7606,4649,8723
"SLC35B2",878,370,653,519,680,351,478,444,961,977,1240,675,693,974,891,1096,697,1237,625,857
"SLC25A27",212,124,82,132,205,100,168,46,202,173,99,61,301,110,159,220,47,210,69,130
"PLA2G7",785,1045,934,741,1509,1827,5884,1821,1466,4760,4664,1639,1631,1594,1994,1538,3351,1987,81,3824
"RHAG",58,2,10,12,33,4,0,8,4,61,26,35,16,20,21,54,46,30,6,29
"DEFB112",0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
"TFAP2B",976,397,552,241,777,9,4,9,112,1078,471,437,837,1540,1881,682,707,740,278,1463
"MIR206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR133B",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4
"IL17A",0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0
"LOC474938",5,16,10,3,16,22,11,15,13,16,18,25,12,17,37,7,2,7,15,275
"GSTA4",571,664,251,610,372,1203,1563,2216,2227,1625,1927,693,1547,1221,455,834,414,1111,540,714
"FBXO9",1977,1073,1235,1244,1519,1127,1117,845,1091,3261,1513,1082,1565,1622,1680,2158,1134,1767,1553,1987
"HCRTR2",0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0
"ADH5",1541,890,833,910,993,1406,648,1888,848,1961,1158,1101,1579,1748,1051,1486,921,1246,1100,1338
"LGSN",0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0
"SMAP1",470,342,296,363,438,427,455,464,263,438,525,195,361,460,436,493,378,601,235,493
"B3GAT2",61,50,38,29,35,32,100,42,67,58,57,46,80,46,41,96,20,40,73,50
"MIR30C-2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR30A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OOEP",2,2,3,2,7,14,34,24,11,11,47,7,0,1,6,12,7,2,1,13
"EEF1A1",182791,199237,219496,198851,201637,168672,151267,282180,132153,299777,211895,297973,209020,288782,261720,338404,220296,212959,327448,311444
"MIR8835",1240,1332,729,760,1497,1046,639,1727,1965,2348,2247,2186,2240,1404,1000,1203,1098,1262,632,1283
"HTR1B",6,53,200,47,45,238,299,40,23,79,335,39,0,75,37,51,512,262,0,114
"MIR8834A-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR8834A-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR8799F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNAP91",16,40,1,1,46,6,2,0,28,49,15,8,21,17,1,6,3,6,0,3
"CGA",0,2,0,0,1,0,0,3,7,6,1,1,3,18,0,2,1,6,0,0
